date, pm25, pm10, no2, so2, co
2024/4/2, 15, 9, 11, 1, 
2024/4/3, 20, 9, 8, 1, 
2024/4/4, 17, 12, 8, 1, 
2024/4/5, 28, 14, 6, 1, 
2024/4/6, 37, 15, 19, 1, 
2024/4/7, 35, 21, 27, 1, 
2024/4/8, 42, 19, 12, 1, 
2024/4/9, 38, 19, 12, 1, 
2024/4/10, 29, 18, 15, 1, 
2024/4/11, 38, 23, 21, , 
2024/4/12, 46, 28, 23, 1, 
2024/4/13, 58, 20, 11, 1, 
2024/4/14, 48, 23, 7, 1, 
2024/4/15, 43, 17, 15, 1, 
2024/4/16, 33, 6, 7, 1, 
2024/4/17, 15, 9, 15, 1, 
2024/4/18, 26, 12, 19, 1, 
2024/4/19, 34, 17, 17, 1, 
2024/4/20, 39, 6, 9, 1, 
2024/4/21, 17, 15, 11, 1, 
2024/4/22, 44, 17, 11, 1, 
2024/4/23, 54, 11, 17, 1, 
2024/4/24, 36, 17, 19, 1, 
2024/4/25, 54, 16, 13, 1, 
2024/4/26, 46, 12, 12, 1, 
2024/4/27, 33, 18, 19, 1, 
2024/4/28, 47, 23, 26, 1, 
2024/4/29, 46, 19, 19, 3, 
2024/4/30, 36, , , , 
2024/5/3, 16, 11, 14, 1, 
2024/5/4, 30, 12, 9, 1, 
2024/5/5, 35, 9, 4, 1, 
2024/5/6, 20, 9, 9, 1, 
2024/5/7, 24, 11, 12, 1, 
2024/5/8, 39, 17, , 1, 
2024/5/9, 41, 16, 23, 1, 
2024/5/10, 36, 15, 16, 1, 
2024/5/11, 37, 14, 17, 1, 
2024/5/12, 40, 16, 19, 2, 
2024/5/13, 42, 12, 21, 1, 
2024/5/14, 35, 16, 18, 1, 
2024/5/15, 50, 15, 13, 2, 
2024/5/16, 40, 15, 8, 1, 
2024/5/17, 40, 10, 12, 1, 
2024/5/18, 24, 14, 11, 1, 
2024/5/19, 37, 36, 16, 1, 
2024/5/20, 70, 20, 17, 1, 
2024/5/21, 52, 10, 16, 2, 
2024/5/22, 25, 10, 14, 1, 
2024/5/23, 27, 12, 15, 1, 
2024/5/24, 27, 13, 14, 2, 
2024/5/25, 38, 12, 9, 1, 
2024/5/26, 39, 18, 18, 1, 
2024/5/27, 43, 20, 22, 1, 
2024/5/28, 51, 10, 12, 6, 
2024/5/29, 22, 10, 8, 2, 
2024/5/30, 26, 9, 11, 1, 
2024/5/31, 29, 7, 7, 2, 
2024/6/1, 18, 9, 9, 1, 
2024/6/2, 23, 8, 13, 2, 
2024/6/3, 24, 9, 14, 1, 
2024/6/4, 20, 12, 11, 2, 
2024/6/5, 27, 16, 15, 1, 
2024/6/6, 37, 20, 19, 2, 
2024/6/7, 43, 19, 12, 2, 
2024/6/8, 48, 23, 7, 2, 
2024/6/9, 53, 19, 10, 1, 
2024/6/10, 44, 11, 15, 2, 
2024/6/11, 27, 9, 11, 2, 
2024/6/12, 18, 14, 15, 2, 
2024/6/13, 32, 14, 13, 2, 
2024/6/14, 33, 14, 8, 2, 
2024/6/15, 32, 12, 11, 2, 
2024/6/16, 29, 16, 15, 2, 
2024/6/17, 37, 22, 16, 1, 
2024/6/18, 46, , 6, 2, 
2024/6/19, 37, 27, 17, 2, 
2024/6/20, 46, 46, 16, 2, 
2024/6/21, 78, 38, 8, 2, 
2024/6/22, 64, 11, 4, 2, 
2024/6/23, 18, 15, 9, 2, 
2024/6/24, 35, 17, 12, 2, 
2024/6/25, 41, 21, 15, 2, 
2024/6/26, 49, 17, 15, 2, 
2024/6/27, 41, 21, 19, 2, 
2024/6/28, 47, 19, 16, 2, 
2024/6/29, 46, 18, 7, 2, 
2024/6/30, 45, 16, 13, 2, 
2024/1/1, 44, 21, 13, , 
2024/1/2, 66, 9, 14, , 
2024/1/3, 28, 17, 19, , 
2024/1/4, 53, 43, 30, , 
2024/1/5, 114, 23, 17, 1, 
2024/1/6, 72, 6, 8, , 
2024/1/7, 26, 16, 10, , 
2024/1/8, 59, 24, 14, , 
2024/1/9, 75, 38, 19, , 
2024/1/10, 106, 53, 24, 1, 
2024/1/11, 137, 49, 25, , 
2024/1/12, 128, 41, 26, , 
2024/1/13, 114, 56, 31, , 
2024/1/14, 149, 40, 27, , 
2024/1/15, 110, 24, 26, , 
2024/1/16, 73, 31, 21, , 
2024/1/17, 94, 17, 24, 1, 
2024/1/18, 55, 17, 24, , 
2024/1/19, 57, 39, 32, , 
2024/1/20, 114, 46, 31, , 
2024/1/21, 128, 57, 35, , 
2024/1/22, 147, 36, 35, , 
2024/1/23, 96, 44, 27, , 
2024/1/24, 118, 31, 28, , 
2024/1/25, 84, 37, 27, , 
2024/1/26, 70, 35, 24, , 
2024/1/27, 76, 39, 25, , 
2024/1/28, 99, 60, 35, , 
2024/1/29, 138, 54, 34, 2, 
2024/1/30, 128, 76, 40, 1, 
2024/1/31, 166, 74, 36, , 
2024/2/1, 163, 56, 29, , 
2024/2/2, 121, 56, 33, , 
2024/2/3, 118, 57, 31, , 
2024/2/4, 136, 31, 19, , 
2024/2/5, 82, 23, 11, , 
2024/2/6, 70, 22, 12, , 
2024/2/7, 60, 17, 9, , 
2024/2/8, 50, 16, 7, 1, 
2024/2/9, 43, 25, 17, 1, 
2024/2/10, 57, 10, 12, 1, 
2024/2/11, 37, 11, 14, , 
2024/2/12, 28, 29, 24, , 
2024/2/13, 62, 31, 27, , 
2024/2/14, 69, 38, 31, , 
2024/2/15, 88, 27, 29, 4, 
2024/2/16, 68, 39, 28, 4, 
2024/2/17, 96, 19, 23, 1, 
2024/2/18, 59, 50, 35, , 
2024/2/19, 117, 33, 25, , 
2024/2/20, 83, 21, 23, , 
2024/2/21, 54, 14, 13, , 
2024/2/22, 40, 13, 18, 1, 
2024/2/23, 31, 14, 14, 1, 
2024/2/24, 30, 21, 25, , 
2024/2/25, 59, 22, 23, 1, 
2024/2/26, 58, 38, 32, , 
2024/2/27, 86, 44, 25, 1, 
2024/2/28, 109, 46, 23, 1, 
2024/2/29, 108, 48, 26, 1, 
2024/3/1, 123, 32, 22, 1, 
2024/3/2, 91, 16, 19, 1, 
2024/3/3, 47, 34, 30, 1, 
2024/3/4, 72, 34, 24, 1, 
2024/3/5, 77, 25, 14, , 
2024/3/6, 71, 23, 13, 1, 
2024/3/7, 66, 30, 21, , 
2024/3/8, 85, 35, 19, 1, 
2024/3/9, 101, 34, 19, 1, 
2024/3/10, 97, 6, 18, 1, 
2024/3/11, 25, 10, 18, 1, 
2024/3/12, 34, 9, 20, 1, 
2024/3/13, 23, 21, 25, 1, 
2024/3/14, 55, 24, 28, 1, 
2024/3/15, 55, 28, 17, , 
2024/3/16, 76, 22, 20, 1, 
2024/3/17, 59, 14, 14, , 
2024/3/18, 41, 21, 13, 1, 
2024/3/19, 62, 32, 25, , 
2024/3/20, 79, 35, 29, 1, 
2024/3/21, 81, 17, 22, , 
2024/3/22, 42, 20, 15, 1, 
2024/3/23, 49, 5, 10, , 
2024/3/24, 13, 13, 19, 1, 
2024/3/25, 35, 20, 29, 1, 
2024/3/26, 47, 31, 24, 1, 
2024/3/27, 71, 6, 5, 1, 
2024/3/28, 12, 16, 11, 1, 
2024/3/29, 33, 32, 16, 1, 
2024/3/30, 59, 68, 12, 1, 
2024/3/31, 97, 82, 7, 1, 
2023/10/1, 59, 18, 21, , 
2023/10/2, 51, 23, 17, , 
2023/10/3, 56, 16, 18, , 
2023/10/4, 37, 18, 23, , 
2023/10/5, 37, 20, 28, , 
2023/10/6, 47, 19, 18, , 
2023/10/7, 51, 14, 8, , 
2023/10/8, 35, 14, 17, , 
2023/10/9, 28, 19, 22, , 
2023/10/10, 45, 25, 26, , 
2023/10/11, 60, 26, 17, , 
2023/10/12, 63, 31, 16, , 
2023/10/13, 71, 31, 12, , 
2023/10/14, 81, , , , 
2023/10/16, 40, 20, 21, 7, 
2023/10/17, 58, 32, 22, 3, 
2023/10/18, 87, 33, 25, 1, 
2023/10/19, 82, 38, 25, 1, 
2023/10/20, 65, 13, 18, 1, 
2023/10/21, 36, 7, 10, 1, 
2023/10/22, 22, 13, 18, , 
2023/10/23, 33, 20, 24, 1, 
2023/10/24, 40, 8, 13, , 
2023/10/25, 22, 8, 13, 1, 
2023/10/26, 19, 6, 18, 1, 
2023/10/27, 21, 10, 18, 1, 
2023/10/28, 29, 10, 10, 1, 
2023/10/29, 32, 13, 21, 1, 
2023/10/30, 32, 8, 18, 1, 
2023/10/31, 25, 15, 14, 1, 
2023/11/1, 50, 15, 22, 1, 
2023/11/2, 37, 8, 18, 1, 
2023/11/3, 23, 11, 19, 2, 
2023/11/4, 37, 6, 9, 1, 
2023/11/5, 20, 15, 23, 2, 
2023/11/6, 36, 13, 21, 2, 
2023/11/7, 45, 14, 21, 4, 
2023/11/8, 40, 21, 16, 5, 
2023/11/9, 61, 18, 27, 8, 
2023/11/10, 60, 10, 14, 9, 
2023/11/11, 35, 29, 18, 11, 
2023/11/12, 87, 25, 18, , 
2023/11/13, 71, 18, 22, , 
2023/11/14, 53, 19, 23, , 
2023/11/15, 55, 40, 26, , 
2023/11/16, 98, 23, 21, , 
2023/11/17, 61, 23, 23, , 
2023/11/18, 66, 27, 19, , 
2023/11/19, 80, 57, 21, , 
2023/11/20, 126, 26, , , 
2023/11/21, 76, 12, , , 
2023/11/22, 44, 28, 20, , 
2023/11/23, 77, 27, 20, , 
2023/11/24, 74, 10, 15, , 
2023/11/25, 36, 23, 21, , 
2023/11/26, 72, 37, 25, , 
2023/11/27, 99, 31, 29, 1, 
2023/11/28, 91, 18, 19, , 
2023/11/29, 58, 34, 23, , 
2023/11/30, 97, 30, 16, , 
2023/12/1, 88, 16, 14, , 
2023/12/2, 60, 23, 18, , 
2023/12/3, 73, 48, 24, , 
2023/12/4, 128, 39, 21, , 
2023/12/5, 114, 27, 17, , 
2023/12/6, 82, 46, 27, , 
2023/12/7, 112, 64, 32, , 
2023/12/8, 152, 35, 17, , 
2023/12/9, 101, 27, 13, , 
2023/12/10, 82, 31, 19, , 
2023/12/11, 88, 50, 29, , 
2023/12/12, 132, 37, 29, , 
2023/12/13, 104, 19, 24, , 
2023/12/14, 55, 20, 18, , 
2023/12/15, 59, 25, 22, , 
2023/12/16, 71, 41, 19, , 
2023/12/17, 108, 70, 35, , 
2023/12/18, 160, 77, 37, , 
2023/12/19, 166, 72, 32, , 
2023/12/20, 154, 49, 25, , 
2023/12/21, 128, 37, 31, , 
2023/12/22, 88, 34, 22, , 
2023/12/23, 92, 56, 21, , 
2023/12/24, 147, 14, 8, , 
2023/12/25, 50, 12, 11, , 
2023/12/26, 44, 41, 29, , 
2023/12/27, 103, 21, 15, , 
2023/12/28, 65, 15, 19, , 
2023/12/29, 51, 22, 20, , 
2023/12/30, 66, , , , 
2023/7/1, 32, 11, 6, , 
2023/7/2, 36, 11, 14, , 
2023/7/3, 35, 9, 17, , 
2023/7/4, 29, 14, 17, , 
2023/7/5, 40, 10, 14, , 
2023/7/6, 22, 13, 17, , 
2023/7/7, 31, 15, 18, , 
2023/7/8, 37, 16, 16, , 
2023/7/9, 42, 18, 18, , 
2023/7/10, 44, 22, 22, , 
2023/7/11, 52, 21, 9, , 
2023/7/12, 43, 17, 17, , 
2023/7/13, 34, 9, 6, , 
2023/7/14, 18, 15, 16, , 
2023/7/15, 38, 15, 11, , 
2023/7/16, 43, 19, 16, , 
2023/7/17, 47, 15, 16, , 
2023/7/18, 37, 12, 13, , 
2023/7/19, 29, 9, 8, , 
2023/7/20, 28, 10, 15, , 
2023/7/21, 27, 10, 12, , 
2023/7/22, 32, 11, 9, , 
2023/7/23, 37, 17, 11, , 
2023/7/24, 45, 13, 14, , 
2023/7/25, 34, 4, 4, , 
2023/7/26, 15, 7, 10, , 
2023/7/27, 13, 15, 25, , 
2023/7/28, 42, , , , 
2023/7/30, 28, 8, 10, , 
2023/7/31, 21, 10, 11, , 
2023/8/1, 29, 5, 10, , 
2023/8/2, 12, 14, 9, , 
2023/8/3, 32, 6, 10, , 
2023/8/4, 17, 3, 7, , 
2023/8/5, 10, , , , 
2023/8/7, 12, 5, 11, , 
2023/8/8, 14, 9, 15, , 
2023/8/9, 24, 6, 12, , 
2023/8/10, 18, 10, 16, , 
2023/8/11, 28, 13, 14, , 
2023/8/12, 35, 14, 13, 3, 
2023/8/13, 44, 19, 16, 1, 
2023/8/14, 55, 18, 12, , 
2023/8/15, 52, 18, 17, , 
2023/8/16, 50, 21, 17, , 
2023/8/17, 54, 19, 17, , 
2023/8/18, 53, 21, 15, , 
2023/8/19, 58, 20, 12, , 
2023/8/20, 59, 22, 20, , 
2023/8/21, 57, 24, 24, , 
2023/8/22, 55, 24, 25, 1, 
2023/8/23, 59, 21, 23, , 
2023/8/24, 52, 23, 23, , 
2023/8/25, 54, 25, 16, , 
2023/8/26, 58, 23, 15, , 
2023/8/27, 58, 21, 17, , 
2023/8/28, 49, 14, 13, , 
2023/8/29, 37, 5, 13, , 
2023/8/30, 12, 6, 15, , 
2023/8/31, 19, 11, 18, , 
2023/9/1, 30, 13, 19, , 
2023/9/2, 41, 12, 14, , 
2023/9/3, 35, 9, 7, , 
2023/9/4, 25, 12, 14, , 
2023/9/5, 35, 17, 22, , 
2023/9/6, 45, 18, 19, , 
2023/9/7, 46, 24, 27, , 
2023/9/8, 49, 23, 23, 1, 
2023/9/9, 54, 24, 21, , 
2023/9/10, 55, 31, 29, 1, 
2023/9/11, 64, 30, 23, , 
2023/9/12, 67, 24, 11, , 
2023/9/13, 60, 17, 19, , 
2023/9/14, 50, 13, 19, , 
2023/9/15, 40, 16, 21, , 
2023/9/16, 43, 14, 16, , 
2023/9/17, 45, 19, 13, , 
2023/9/18, 50, 12, 18, , 
2023/9/19, 33, 14, 19, , 
2023/9/20, 39, 13, 14, , 
2023/9/21, 35, 21, 20, , 
2023/9/22, 47, 7, 10, , 
2023/9/23, 24, 3, 6, , 
2023/9/24, 10, 9, 11, , 
2023/9/25, 28, 21, 21, , 
2023/9/26, 51, 34, 24, , 
2023/9/27, 61, 31, 27, 1, 
2023/9/28, 58, 31, 30, , 
2023/9/29, 61, 29, 25, , 
2023/9/30, 67, 20, 15, , 
2023/4/1, 23, 6, 9, , 
2023/4/2, 35, 10, 13, , 
2023/4/3, 26, 11, 5, , 
2023/4/4, 35, 13, 9, 1, 
2023/4/5, 47, 16, 16, , 
2023/4/6, 49, 28, 17, 1, 
2023/4/7, 75, 24, 9, , 
2023/4/8, 75, 12, 4, 5, 
2023/4/9, 51, 15, 11, , 
2023/4/10, 56, 24, 14, , 
2023/4/11, 77, , , , 
2023/4/16, 21, 8, 7, , 
2023/4/17, 29, 11, 8, , 
2023/4/18, 41, 14, 16, , 
2023/4/19, 49, 17, 17, , 
2023/4/20, 53, 20, 16, , 
2023/4/21, 56, 24, 19, , 
2023/4/22, 61, 18, 13, , 
2023/4/23, 50, 12, 19, , 
2023/4/24, 42, 5, 10, , 
2023/4/25, 17, 10, 13, 5, 
2023/4/26, 34, 13, 17, , 
2023/4/27, 41, 18, 18, , 
2023/4/28, 50, 12, 11, , 
2023/4/29, 36, 9, 9, 5, 
2023/4/30, 34, 13, 10, , 
2023/5/1, 44, 15, 14, , 
2023/5/2, 53, 9, 8, , 
2023/5/3, 33, 15, 15, 5, 
2023/5/4, 46, 19, 20, , 
2023/5/5, 53, 21, 18, , 
2023/5/6, 58, 13, 10, , 
2023/5/7, 45, 17, 12, 7, 
2023/5/8, 57, 15, 13, , 
2023/5/9, 45, 16, 13, 1, 
2023/5/10, 51, 14, 12, , 
2023/5/11, 52, 6, 15, , 
2023/5/12, 22, 12, 10, , 
2023/5/13, 44, 10, 8, 1, 
2023/5/14, 38, 8, 12, , 
2023/5/15, 28, 6, 12, , 
2023/5/16, 21, 5, 13, , 
2023/5/17, 19, 12, 11, 5, 
2023/5/18, 39, 16, 11, , 
2023/5/19, 54, 20, 13, , 
2023/5/20, 60, 17, 10, , 
2023/5/21, 52, 19, 17, , 
2023/5/22, 53, 21, 17, , 
2023/5/23, 52, 13, 13, , 
2023/5/24, 45, 12, 12, , 
2023/5/25, 41, 18, 13, , 
2023/5/26, 54, , , , 
2023/5/28, 50, 18, 12, , 
2023/5/29, 53, 15, 11, , 
2023/5/30, 47, 18, 16, , 
2023/5/31, 54, 21, 18, , 
2023/6/1, 60, 20, 20, , 
2023/6/2, 53, 16, 13, , 
2023/6/3, 48, 17, 13, , 
2023/6/4, 50, 16, 19, , 
2023/6/5, 55, 16, 19, , 
2023/6/6, 50, 14, 20, , 
2023/6/7, 45, 12, 11, , 
2023/6/8, 38, 13, 14, , 
2023/6/9, 39, 14, 14, , 
2023/6/10, 44, 12, 6, , 
2023/6/11, 44, 11, 11, , 
2023/6/12, 33, 15, 17, , 
2023/6/13, 35, 14, 17, , 
2023/6/14, 35, 13, 14, , 
2023/6/15, 35, 16, 15, , 
2023/6/16, 42, 14, 16, , 
2023/6/17, 39, 17, 13, , 
2023/6/18, 47, 21, 16, , 
2023/6/19, 50, 24, 12, , 
2023/6/20, 56, 26, 18, , 
2023/6/21, 55, 26, 11, , 
2023/6/22, 53, 31, 14, , 
2023/6/23, 53, 10, 8, 1, 
2023/6/24, 30, 11, 8, , 
2023/6/25, 36, 17, 18, , 
2023/6/26, 46, 17, 16, , 
2023/6/27, 52, 10, 16, 1, 
2023/6/28, 33, 12, 16, , 
2023/6/29, 29, 13, 15, , 
2023/6/30, 30, 11, 7, , 
2023/2/14, 90, 46, 26, , 
2023/2/15, 122, 47, 26, , 
2023/2/16, 161, 71, 35, , 
2023/2/17, 102, 37, 13, , 
2023/2/18, 111, 39, 8, , 
2023/2/19, 73, 23, 11, , 
2023/2/20, 67, 23, 17, , 
2023/2/21, 79, 26, 11, , 
2023/2/22, 109, 44, 25, , 
2023/2/23, 141, 59, 29, , 
2023/2/24, 86, 32, 12, , 
2023/2/25, 41, 13, 8, , 
2023/2/26, 26, 6, 10, , 
2023/2/27, 56, 16, 12, , 
2023/2/28, 71, 22, 11, , 
2023/3/1, 72, 22, 11, , 
2023/3/2, 88, 29, 17, , 
2023/3/3, 114, 46, 15, , 
2023/3/4, 102, 39, 16, , 
2023/3/5, 75, 25, 16, , 
2023/3/6, 75, 26, 18, , 
2023/3/7, 69, 23, 11, , 
2023/3/8, 32, 9, 7, , 
2023/3/9, 29, 11, 9, , 
2023/3/10, 60, 22, 21, , 
2023/3/11, 44, 13, 14, , 
2023/3/12, 39, 11, 12, , 
2023/3/13, 68, 25, 17, , 
2023/3/14, 28, 10, 13, , 
2023/3/15, 23, 7, 11, , 
2023/3/16, 41, 13, 18, 1, 
2023/3/17, 74, 28, 25, , 
2023/3/18, 63, 22, 22, , 
2023/3/19, 64, 23, 14, , 
2023/3/20, 57, 18, 10, , 
2023/3/21, 87, 33, 19, , 
2023/3/22, 78, 31, 25, , 
2023/3/23, 61, 23, 20, , 
2023/3/24, 47, 16, 8, , 
2023/3/25, 33, 9, 11, , 
2023/3/26, 63, 20, 17, , 
2023/3/27, 10, 3, 9, , 
2023/3/28, 22, 7, 14, 2, 
2023/3/29, 61, 23, 24, , 
2023/3/30, 27, 9, 5, 5, 
2023/3/31, 31, 10, 6, , 
2024/9/7, , 25, 9, 2, 
2024/5/2, , 6, 10, 1, 
2023/12/31, , 14, 14, , 
2023/10/15, , 12, 21, , 
2023/7/29, , 8, 7, , 
2023/8/6, , 5, 11, , 
2023/4/15, , 6, 9, , 
2023/5/27, , 17, 9, , 
2023/1/15, , 28, 21, 8, 
2023/1/16, , 13, 18, 5, 
2023/1/17, , 14, 21, 2, 
2023/1/18, , 18, 25, 2, 
2023/1/19, , 18, 18, 2, 
2023/1/20, , 25, 21, 1, 
2023/1/21, , 17, 9, 1, 
2023/1/22, , 9, 6, 1, 
2023/1/23, , 10, 12, 1, 
2023/1/24, , 17, 17, 1, 
2023/1/25, , 24, 12, 1, 
2023/1/26, , 20, 9, 1, 
2023/2/1, , 38, 26, 1, 
2023/2/2, , 30, 18, , 
2023/2/3, , 17, 16, , 
2023/2/4, , 17, 11, , 
2023/2/5, , 7, 8, , 
2023/2/6, , 20, 12, , 
2023/2/7, , 42, 24, 1, 
2023/2/8, , 38, 18, , 
2023/2/9, , 34, 20, 2, 
2023/2/10, , 61, 32, 1, 
2023/2/11, , 53, 23, , 
2023/2/12, , 42, 23, , 
2023/2/13, , 29, 23, , 
2022/10/1, , 5, 13, 1, 
2022/10/2, , 8, 18, 1, 
2022/10/3, , 12, 20, 1, 
2022/10/4, , 17, 22, 1, 
2022/10/5, , 11, 24, 1, 
2022/10/6, , 14, 26, 2, 
2022/10/7, , 16, 22, 2, 
2022/10/8, , 24, 15, 1, 
2022/10/9, , 12, 21, 1, 
2022/10/10, , 15, 22, 2, 
2022/10/11, , 20, 25, 2, 
2022/10/12, , 20, , , 
2022/10/16, , 24, 27, 3, 
2022/10/17, , 28, 28, 4, 
2022/10/18, , 30, 23, 2, 
2022/10/19, , 28, 19, 1, 
2022/10/20, , 10, 17, 1, 
2022/10/21, , 13, 10, 1, 
2022/10/22, , 8, 8, 1, 
2022/10/23, , 9, 17, 1, 
2022/10/24, , 16, 16, 1, 
2022/10/25, , 7, 17, 2, 
2022/10/26, , 11, 17, 1, 
2022/10/27, , 10, 15, 1, 
2022/10/28, , 9, 11, 1, 
