date, pm25, pm10, no2, so2, co
2024/12/1, 69, 39, 21, 5, 
2024/12/2, 95, 45, 20, 6, 
2024/12/3, 108, 51, 20, 5, 
2024/12/4, 126, 33, 25, , 
2024/12/5, 72, 40, 30, , 
2024/12/6, 90, , , , 
2024/11/1, 76, 27, 9, 3, 
2024/11/2, 72, 19, 13, 2, 
2024/11/3, 54, 38, 22, 3, 
2024/11/4, 88, 43, 22, 3, 
2024/11/5, 95, 56, 23, 4, 
2024/11/6, 139, 64, 21, 4, 
2024/11/7, 149, 51, 20, 4, 
2024/11/8, 132, 54, 18, 4, 
2024/11/9, 142, 44, 12, 5, 
2024/11/10, 116, 43, 16, 5, 
2024/11/11, 108, 38, 13, 8, 
2024/11/12, 95, 29, 14, 9, 
2024/11/13, 77, 23, 13, 11, 
2024/11/14, 57, 33, 17, 8, 
2024/11/15, 80, 41, 24, 7, 
2024/11/16, 97, 51, 18, 5, 
2024/11/17, 133, 42, 11, 3, 
2024/11/18, 108, 55, 16, 3, 
2024/11/19, 137, 22, 18, 4, 
2024/11/20, 62, 21, 18, 4, 
2024/11/21, 57, 12, 16, 4, 
2024/11/22, 41, 23, 17, 4, 
2024/11/23, 69, 13, 13, 3, 
2024/11/24, 42, 12, 9, 4, 
2024/11/25, 37, 18, , 3, 
2024/11/26, 48, 14, , 4, 
2024/11/27, 47, 26, , 4, 
2024/11/28, 72, 27, , 4, 
2024/11/29, 67, 16, , 4, 
2024/11/30, 50, 24, , 4, 
2024/10/1, 44, 18, 20, 3, 
2024/10/2, 49, 6, 15, 3, 
2024/10/3, 18, 9, 15, 3, 
2024/10/4, 22, 16, 10, 3, 
2024/10/5, 46, 13, 10, 2, 
2024/10/6, 36, 12, 7, 2, 
2024/10/7, 29, 14, 17, 2, 
2024/10/8, 24, 10, 10, 3, 
2024/10/9, 20, 10, 10, 2, 
2024/10/10, 18, 8, 13, 2, 
2024/10/11, 16, 11, 16, 2, 
2024/10/12, 25, 15, 10, 3, 
2024/10/13, 39, 19, 15, 2, 
2024/10/14, 39, 23, 13, 3, 
2024/10/15, 51, 20, 13, 2, 
2024/10/16, 42, 28, 16, 2, 
2024/10/17, 73, 39, 13, 2, 
2024/10/18, 89, 32, 15, 4, 
2024/10/19, 66, 27, 17, 3, 
2024/10/20, 59, 42, 20, 3, 
2024/10/21, 88, 49, 21, 3, 
2024/10/22, 104, 50, 18, 3, 
2024/10/23, 102, 36, 15, 3, 
2024/10/24, 81, 35, 14, 3, 
2024/10/25, 83, 29, 9, 3, 
2024/10/26, 70, 28, 10, 3, 
2024/10/27, 64, 38, 13, 2, 
2024/10/28, 79, 40, 19, 3, 
2024/10/29, 83, 40, 20, 3, 
2024/10/30, 89, 46, 19, 5, 
2024/10/31, 107, 28, 15, 3, 
2024/7/1, 31, 11, 11, 1, 
2024/7/2, 20, 16, 15, 2, 
2024/7/3, 31, 17, 16, 1, 
2024/7/4, 38, 13, 15, 1, 
2024/7/5, 26, 13, 10, 2, 
2024/7/6, 28, 15, 12, 2, 
2024/7/7, 35, 23, 16, 3, 
2024/7/8, 50, 26, 17, 2, 
2024/7/9, 51, 34, 23, 3, 
2024/7/10, 55, 32, 20, 3, 
2024/7/11, 58, 30, 16, 2, 
2024/7/12, 59, 26, 13, 2, 
2024/7/13, 49, 20, 10, 2, 
2024/7/14, 41, 21, 16, 2, 
2024/7/15, 41, 23, 18, 2, 
2024/7/16, 40, 18, 11, 2, 
2024/7/17, 29, 16, 12, 2, 
2024/7/18, 27, 23, 16, 2, 
2024/7/19, 44, 14, 8, 2, 
2024/7/20, 41, 13, 6, 2, 
2024/7/21, 37, 21, 15, 2, 
2024/7/22, 50, 16, 12, 2, 
2024/7/23, 36, 13, 12, 2, 
2024/7/24, 27, 15, 15, 2, 
2024/7/25, 29, 18, 15, 2, 
2024/7/26, 36, 18, 14, 2, 
2024/7/27, 33, 18, 10, 2, 
2024/7/28, 39, 11, 10, 1, 
2024/7/29, 22, 16, 15, 2, 
2024/7/30, 31, 22, 17, 2, 
2024/7/31, 38, 25, 17, 3, 
2024/8/1, 45, 14, 9, 2, 
2024/8/2, 26, 10, 7, 2, 
2024/8/3, 25, 13, 9, 2, 
2024/8/4, 36, 12, 6, 2, 
2024/8/5, 33, 12, 9, 2, 
2024/8/6, 24, 19, 13, 3, 
2024/8/7, 37, 10, 11, 2, 
2024/8/8, 24, 11, 14, 2, 
2024/8/9, 22, 13, 12, 2, 
2024/8/10, 27, 14, 14, 2, 
2024/8/11, 31, 18, 18, 2, 
2024/8/12, 34, 21, 18, 3, 
2024/8/13, 42, 22, 16, 3, 
2024/8/14, 51, 18, 10, 3, 
2024/8/15, 50, 20, 15, 2, 
2024/8/16, 48, 23, 12, 3, 
2024/8/17, 51, 21, 7, 2, 
2024/8/18, 47, 16, 7, 3, 
2024/8/19, 34, 17, 13, 2, 
2024/8/20, 39, 22, 14, 3, 
2024/8/21, 50, 19, 17, 2, 
2024/8/22, 36, 24, 22, 2, 
2024/8/23, 44, 24, 18, 3, 
2024/8/24, 49, 18, 11, 2, 
2024/8/25, 42, 18, 12, 3, 
2024/8/26, 32, 18, 14, 2, 
2024/8/27, 36, 26, 17, 3, 
2024/8/28, 51, 34, 25, 3, 
2024/8/29, 60, 34, 27, 3, 
2024/8/30, 59, 31, 21, 2, 
2024/8/31, 57, 28, 17, 3, 
2024/9/1, 56, 37, 26, 3, 
2024/9/2, 59, 41, 29, 3, 
2024/9/3, 64, , 28, 3, 
2024/9/8, 43, 13, 12, 3, 
2024/9/9, 32, 11, 14, 2, 
2024/9/10, 17, 14, 15, 2, 
2024/9/11, 26, 9, 15, 2, 
2024/9/12, 23, 5, 10, 2, 
2024/9/13, 9, 5, 5, 2, 
2024/9/14, 11, 5, 9, 2, 
2024/9/15, 11, 7, 13, 2, 
2024/9/16, 14, 9, 11, 2, 
2024/9/17, 24, 26, 14, 2, 
2024/9/18, 54, 31, 13, 2, 
2024/9/19, 59, 22, 12, 2, 
2024/9/20, 44, 28, 20, 3, 
2024/9/21, 53, 29, 20, 3, 
2024/9/22, 57, 28, 21, 3, 
2024/9/23, 58, 15, 15, 3, 
2024/9/24, 39, 13, 13, 3, 
2024/9/25, 34, 17, 10, 2, 
2024/9/26, 42, 20, 14, 3, 
2024/9/27, 43, 9, 13, 2, 
2024/9/28, 22, 6, 8, 2, 
2024/9/29, 13, 15, 19, 2, 
2024/9/30, 34, 20, 21, 3, 
2024/4/1, 114, 7, 12, 1, 
