date, pm25, pm10, o3, no2, so2, co
2023/2/8, 126, 38, 27, 17, , 
2023/2/9, 109, 61, 18, 32, , 
2023/2/10, 150, 54, 25, 22, , 
2023/2/11, 141, 47, 18, 20, , 
2023/2/12, 127, 35, 20, 21, , 
2023/2/13, 102, 47, 21, 20, , 
2023/2/14, 128, 50, 21, 21, , 
2023/2/15, 137, 64, 16, 29, , 
2023/2/16, 157, 35, 32, 12, , 
2023/2/17, 104, 40, 32, 9, , 
2023/2/18, 115, 21, 33, 5, , 
2023/2/19, 72, 25, 25, 16, , 
2023/2/20, 81, 28, 23, 14, , 
2023/2/21, 86, 45, 21, 24, , 
2023/2/22, 125, 61, 14, 26, , 
2023/2/23, 153, 32, 26, 13, , 
2023/2/24, 93, 13, 29, 7, , 
2023/2/25, 46, 11, 27, 5, , 
2023/2/26, 39, 19, 25, 7, , 
2023/2/27, 62, 24, 23, 7, , 
2023/2/28, 78, 26, 15, 8, , 
2023/3/1, 84, 34, 16, 12, , 
2023/3/2, 103, 44, 11, 14, , 
2023/3/3, 124, 40, 20, 16, , 
2023/3/4, 112, 32, 27, 14, , 
2023/3/5, 97, 32, 24, 17, , 
2023/3/6, 93, 24, 36, 10, , 
2023/3/7, 78, 10, 33, 8, , 
2023/3/8, 38, 11, 31, 9, , 
2023/3/9, 33, 23, 22, 19, , 
2023/3/10, 72, 12, 28, 9, , 
2023/3/11, 42, 14, 32, 10, , 
2023/3/12, 49, 31, 32, 14, , 
2023/3/13, 89, 9, 31, 12, , 
2023/3/14, 32, 7, 28, 9, , 
2023/3/15, 25, 15, 31, 15, , 
2023/3/16, 49, 35, 32, 19, , 
2023/3/17, 98, 26, 36, 15, , 
2023/3/18, 78, 26, 39, 12, , 
2023/3/19, 80, 19, 29, 12, , 
2023/3/20, 65, 30, 32, 18, , 
2023/3/21, 89, 35, 30, 21, , 
2023/3/22, 99, 28, 30, 19, , 
2023/3/23, 81, 15, 39, 7, , 
2023/3/24, 47, 8, 32, 9, , 
2023/3/25, 34, 19, 31, 12, , 
2023/3/26, 65, 3, 31, 7, , 
2023/3/27, 13, 10, 32, 12, , 
2023/3/28, 34, 27, 24, 18, , 
2023/3/29, 76, 10, 35, 7, , 
2023/3/30, 33, 11, 35, 7, , 
2023/3/31, 37, 6, 34, 7, , 
2022/10/1, 37, 11, 20, 9, , 
2022/10/2, 41, 10, 20, 12, , 
2022/10/3, 37, 13, 19, 15, , 
2022/10/4, 44, 16, 17, 14, , 
2022/10/5, 55, 22, 18, 18, , 
2022/10/6, 68, 24, 25, 17, , 
2022/10/7, 72, 35, 17, 16, , 
2022/10/8, 102, 25, 24, 10, , 
2022/10/9, 77, 27, 17, 15, , 
2022/10/10, 81, 34, 18, 16, , 
2022/10/11, 97, 37, 10, 19, , 
2022/10/12, 101, , , , , 
2022/10/16, 116, 42, 20, 19, , 
2022/10/17, 112, 48, 18, 21, , 
2022/10/18, 128, 48, 8, 19, , 
2022/10/19, 135, 19, 16, 14, , 
2022/10/20, 62, 27, 19, 14, , 
2022/10/21, 82, 12, 21, 11, , 
2022/10/22, 44, 13, 22, 8, , 
2022/10/23, 50, 22, 19, 15, , 
2022/10/24, 66, 11, 13, 13, , 
2022/10/25, 45, 24, 5, 15, , 
2022/10/26, 78, 20, 7, 11, , 
2022/10/27, 70, 14, 6, 8, , 
2022/10/28, 53, 14, 6, 6, , 
2022/10/29, 53, 18, 3, 8, , 
2022/10/30, 65, 26, 3, 10, , 
2022/10/31, 85, 29, 6, 11, , 
2022/11/1, 93, 34, 11, 15, , 
2022/11/2, 101, 26, 17, 14, , 
2022/11/3, 82, 30, 13, 14, , 
2022/11/4, 95, 9, 21, 9, , 
2022/11/5, 35, 12, 23, 8, , 
2022/11/6, 42, 35, 13, 15, , 
2022/11/7, 104, 47, 6, 15, , 
2022/11/8, 132, 37, 15, 14, , 
2022/11/9, 105, 27, 16, 12, , 
2022/11/10, 85, 33, 3, 12, , 
2022/11/11, 103, 33, 1, 10, , 
2022/11/12, 105, 38, 14, 9, , 
2022/11/13, 115, 37, 3, 12, , 
2022/11/14, 113, 30, 4, 11, , 
2022/11/15, 96, 34, 2, 11, , 
2022/11/16, 105, 21, 4, 10, , 
2022/11/17, 74, 19, 2, 12, , 
2022/11/18, 69, 21, 8, 7, , 
2022/11/19, 74, 18, 9, 10, , 
2022/11/20, 61, 16, 9, 9, , 
2022/11/21, 60, 15, 12, 7, , 
2022/11/22, 58, 16, 12, 13, , 
2022/11/23, 51, 38, 6, 15, , 
2022/11/24, 111, 48, 1, 17, , 
2022/11/25, 136, 48, 2, 15, , 
2022/11/26, 137, 42, 11, 12, , 
2022/11/27, 122, 41, 12, 11, , 
2022/11/28, 115, 34, 11, 7, , 
2022/11/29, 103, 23, 11, 8, , 
2022/11/30, 78, 23, 10, 8, , 
2022/12/1, 78, 31, 7, 11, , 
2022/12/2, 98, 39, 3, 8, , 
2022/12/3, 118, 35, 3, 7, , 
2022/12/4, 107, 29, 2, 7, , 
2022/12/5, 93, 31, 3, 15, , 
2022/12/6, 98, 46, , 12, , 
2022/12/7, 133, 34, 4, 10, , 
2022/12/8, 105, 33, 3, 10, , 
2022/12/9, 104, 18, 11, 8, , 
2022/12/10, 66, 16, 14, 7, , 
2022/12/11, 59, 29, 16, 15, , 
2022/12/12, 89, 57, 2, 20, , 
2022/12/13, 155, 57, 5, 14, , 
2022/12/14, 157, 61, 3, 13, , 
2022/12/15, 161, 46, 3, 13, , 
2022/12/16, 135, 36, 4, 13, , 
2022/12/17, 109, 40, 15, 15, , 
2022/12/18, 117, 44, 10, 14, , 
2022/12/19, 127, 32, 12, 9, , 
2022/12/20, 97, 42, 3, 10, , 
2022/12/21, 123, 55, 2, 16, , 
2022/12/22, 147, 44, 8, 18, , 
2022/12/23, 123, 26, 14, 13, , 
2022/12/24, 80, 63, 4, 12, , 
2022/12/25, 162, 23, 15, 7, , 
2022/12/26, 78, 17, 15, 12, , 
2022/12/27, 64, 29, 15, 19, , 
2022/12/28, 88, 49, 8, 17, , 
2022/12/29, 129, 24, 17, 19, , 
2022/12/30, 80, 19, 17, 8, , 
2022/12/31, 67, 17, 18, 5, , 
2023/1/1, 64, 12, 23, 6, , 
2022/7/1, 41, 10, 89, 5, , 
2022/7/2, 16, 14, 101, 10, , 
2022/7/3, 31, 23, 46, 14, , 
2022/7/4, 48, 12, 37, 8, , 
2022/7/5, 28, 16, 40, 9, , 
2022/7/6, 31, 12, 38, 11, , 
2022/7/7, 33, 11, 24, 7, , 
2022/7/8, 31, 8, 30, 9, , 
2022/7/9, 22, 9, 30, 9, , 
2022/7/10, 28, 9, 28, 9, , 
2022/7/11, 22, 11, 32, 11, , 
2022/7/12, 29, 8, 34, 10, , 
2022/7/13, 20, 13, 36, 14, , 
2022/7/14, 30, 16, 39, 7, , 
2022/7/15, 39, 14, 43, 6, , 
2022/7/16, 32, 11, 38, 4, , 
2022/7/17, 22, 18, 43, 12, , 
2022/7/18, 30, 21, 45, 16, , 
2022/7/19, 34, 21, 43, 17, , 
2022/7/20, 36, 23, 51, 21, , 
2022/7/21, 40, 27, 57, 20, , 
2022/7/22, 51, 26, 52, 15, , 
2022/7/23, 60, 15, 53, 8, , 
2022/7/24, 47, 16, 50, 14, , 
2022/7/25, 47, 17, 32, 13, , 
2022/7/26, 52, 18, 40, 11, , 
2022/7/27, 57, 17, 44, 13, , 
2022/7/28, 47, 23, 47, 17, , 
2022/7/29, 53, 14, 28, 11, , 
2022/7/30, 46, 12, 44, 10, , 
2022/7/31, 38, 15, 41, 15, , 
2022/8/1, 44, 11, 27, 12, , 
2022/8/2, 32, 13, 44, 13, , 
2022/8/3, 38, 13, 49, 14, , 
2022/8/4, 33, 13, 48, 12, , 
2022/8/5, 38, 16, 49, 10, , 
2022/8/6, 43, 9, 39, 4, , 
2022/8/7, 31, 9, 36, 4, , 
2022/8/8, 25, 11, 41, 9, , 
2022/8/9, 30, 11, 35, 7, , 
2022/8/10, 27, 14, 37, 12, , 
2022/8/11, 35, 17, 35, 9, , 
2022/8/12, 31, 8, 35, 6, , 
2022/8/13, 30, 12, 44, 8, , 
2022/8/14, 44, 13, 46, 10, , 
2022/8/15, 45, 12, 43, 14, , 
2022/8/16, 37, 14, 43, 12, , 
2022/8/17, 43, 21, 41, 13, , 
2022/8/18, 46, 23, 32, 14, , 
2022/8/19, 51, 15, 34, 9, , 
2022/8/20, 46, 8, 34, 8, , 
2022/8/21, 25, 9, 15, 11, , 
2022/8/22, 33, 5, 18, 8, , 
2022/8/23, 17, 10, 33, 9, , 
2022/8/24, 29, 17, 36, 12, , 
2022/8/25, 51, 26, 43, 18, , 
2022/8/26, 63, 29, 46, 14, , 
2022/8/27, 62, 13, 39, 8, , 
2022/8/28, 44, 10, 31, 13, , 
2022/8/29, 30, 13, 40, 12, , 
2022/8/30, 39, 17, 39, 13, , 
2022/8/31, 46, 9, 28, 7, , 
2022/9/1, 31, 13, 26, 12, , 
2022/9/2, 37, 14, 29, 12, , 
2022/9/3, 43, 16, 36, 10, , 
2022/9/4, 49, 21, 33, 14, , 
2022/9/5, 60, 21, 32, 13, , 
2022/9/6, 56, 22, 43, 14, , 
2022/9/7, 59, 15, 21, 17, , 
2022/9/8, 44, 9, 25, 14, , 
2022/9/9, 29, 7, 29, 10, , 
2022/9/10, 23, 6, 26, 8, , 
2022/9/11, 16, 8, 26, 12, , 
2022/9/12, 24, 11, 30, 14, , 
2022/9/13, 34, 10, 35, 7, , 
2022/9/14, 20, 11, 25, 15, , 
2022/9/15, 30, 7, 21, 8, , 
2022/9/16, 29, 5, 24, 9, , 
2022/9/17, 20, 5, 18, 7, , 
2022/9/18, 19, 7, 19, 12, , 
2022/9/19, 27, 8, 20, 11, , 
2022/9/20, 32, 8, 24, 13, , 
2022/9/21, 29, 12, 20, 14, , 
2022/9/22, 43, 13, 24, 14, , 
2022/9/23, 46, 16, 27, 11, , 
2022/9/24, 53, 13, 20, 10, , 
2022/9/25, 49, 16, 19, 12, , 
2022/9/26, 58, 10, 16, 9, , 
2022/9/27, 40, 10, 14, 11, , 
2022/9/28, 34, 10, 14, 11, , 
2022/9/29, 41, 10, 11, 11, , 
2022/9/30, 41, 9, 23, 9, , 
2022/4/1, 49, 19, 22, 1, , 
2022/4/2, 67, 20, 29, 6, , 
2022/4/3, 65, 24, 33, 12, , 
2022/4/4, 72, 19, 38, 7, , 
2022/4/5, 60, 20, 35, 8, , 
2022/4/6, 60, 12, 41, 5, , 
2022/4/7, 39, 13, 33, 10, , 
2022/4/8, 34, 9, 26, 1, , 
2022/4/9, 28, 12, 32, 5, , 
2022/4/10, 41, 21, 33, 10, , 
2022/4/11, 60, 17, 39, 13, , 
2022/4/12, 42, 29, 42, 9, , 
2022/4/13, 67, 27, 43, 9, , 
2022/4/14, 57, 34, 39, 13, , 
2022/4/15, 82, 8, 32, 10, , 
2022/4/16, 26, 11, 35, , , 
2022/4/17, 42, 13, 36, 1, , 
2022/4/18, 48, 12, 34, 5, , 
2022/4/19, 44, 19, 34, 9, , 
2022/4/20, 61, 36, 27, 10, , 
2022/4/21, 95, 23, 21, 5, , 
2022/4/22, 73, 19, 28, 3, , 
2022/4/23, 59, 11, 34, 3, , 
2022/4/24, 30, 8, 32, 4, , 
2022/4/25, 22, 14, 29, 7, , 
2022/4/26, 42, 9, 24, , , 
2022/4/27, 31, 15, 40, , , 
2022/4/28, 47, 20, 38, 12, , 
2022/4/29, 55, 23, 41, 13, , 
2022/4/30, 61, 17, 37, 6, , 
2022/5/1, 53, 16, 31, 14, , 
2022/5/2, 49, 21, 36, 16, , 
2022/5/3, 55, 23, 35, 16, , 
2022/5/4, 57, 22, 32, 15, , 
2022/5/5, 55, 21, 28, 14, , 
2022/5/6, 60, 26, 23, 9, , 
2022/5/7, 76, 24, 34, 7, , 
2022/5/8, 69, 20, 35, 12, , 
2022/5/9, 57, 24, 38, 14, , 
2022/5/10, 64, 28, 36, 14, , 
2022/5/11, 60, 24, 43, 13, , 
2022/5/12, 55, 21, 42, 9, , 
2022/5/13, 54, 18, 40, 11, , 
2022/5/14, 51, 22, 40, 11, , 
2022/5/15, 57, 22, 34, 14, , 
2022/5/16, 57, 15, 34, 11, , 
2022/5/17, 46, 17, 38, 8, , 
2022/5/18, 39, 17, 33, 15, , 
2022/5/19, 34, 20, 43, 17, , 
2022/5/20, 41, 19, 46, 8, , 
2022/5/21, 45, 12, 40, 5, , 
2022/5/22, 30, 18, 37, 10, , 
2022/5/23, 41, 38, 34, 15, , 
2022/5/24, 63, 24, 36, 10, , 
2022/5/25, 52, 12, 36, 10, , 
2022/5/26, 25, 23, 40, 14, , 
2022/5/27, 43, 11, 26, 9, , 
2022/5/28, 31, 6, 25, 5, , 
2022/5/29, 21, 7, 24, 6, , 
2022/5/30, 24, 12, 16, 8, , 
2022/5/31, 40, 18, 33, 11, , 
2022/6/1, 51, 15, 39, 8, , 
2022/6/2, 37, 15, 33, 8, , 
2022/6/3, 43, , , , , 
2022/6/5, 40, 11, 35, 10, , 
2022/6/6, 31, 17, 38, 12, , 
2022/6/7, 46, 7, 22, 10, , 
2022/6/8, 20, 9, 27, 5, , 
2022/6/9, 28, 7, 35, 3, , 
2022/6/10, 18, 11, 41, 7, , 
2022/6/11, 29, 13, 41, 10, , 
2022/6/12, 39, 16, 35, 13, , 
2022/6/13, 47, 12, 39, 10, , 
2022/6/14, 31, 17, 39, 12, , 
2022/6/15, 45, 16, 38, 8, , 
2022/6/16, 50, 16, 40, 9, , 
2022/6/17, 46, 13, 41, 9, , 
2022/6/18, 35, 16, 39, 11, , 
2022/6/19, 46, 21, 42, 9, , 
2022/6/20, 48, 22, 44, 8, , 
2022/6/21, 53, 19, 46, 7, , 
2022/6/22, 52, 15, 52, 7, , 
2022/6/23, 41, 24, 43, 8, , 
2022/6/24, 56, 21, 54, 7, , 
2022/6/25, 51, 15, 58, 9, , 
2022/6/26, 42, 24, 47, 13, , 
2022/6/27, 52, 30, 76, 11, , 
2022/6/28, 67, 29, 70, 9, , 
2022/6/29, 58, 25, 75, 11, , 
2022/6/30, 59, 19, 79, 13, , 
2022/1/3, 87, 16, 5, 9, 3, 
2022/1/4, 58, 8, 24, 6, 2, 
2022/1/5, 27, 15, 23, 8, 2, 
2022/1/6, 51, 32, 23, 14, 3, 
2022/1/7, 98, 52, 11, 17, 3, 
2022/1/8, 143, 53, 8, 15, 4, 
2022/1/9, 150, 46, 18, 15, 4, 
2022/1/10, 134, 25, 21, 6, 2, 
2022/1/11, 80, 37, 19, 14, 3, 
2022/1/12, 104, 55, 14, 18, 4, 
2022/1/13, 144, 56, 10, 23, 4, 
2022/1/14, 138, 63, 12, 24, 6, 
2022/1/15, 152, 75, 12, 21, 7, 
2022/1/16, 174, 63, 11, 21, 6, 
2022/1/17, 156, 34, 17, 21, 5, 
2022/1/18, 90, 55, 14, 25, 5, 
2022/1/19, 139, 41, 14, 22, 4, 
2022/1/20, 120, 27, 21, 18, 3, 
2022/1/21, 76, 26, 19, 11, 2, 
2022/1/22, 82, 27, 17, 14, 2, 
2022/1/23, 88, 35, 19, 14, 2, 
2022/1/24, 101, 58, 15, 19, 5, 
2022/1/25, 150, 72, 6, 24, 6, 
2022/1/26, 167, 72, 12, 22, 7, 
2022/1/27, 166, 52, 23, 20, 5, 
2022/1/28, 126, 29, 22, 16, 3, 
2022/1/29, 81, 36, 25, 15, 3, 
2022/1/30, 97, 53, 5, 25, 4, 
2022/1/31, 142, 40, 19, 17, 4, 
2022/2/1, 109, 28, 19, 14, 3, 
2022/2/2, 80, 30, 8, 20, 3, 
2022/2/3, 91, , , , , 
2022/2/23, 87, 45, 20, 21, , 
2022/2/24, 109, 24, 24, 15, , 
2022/2/25, 70, 13, 27, 6, , 
2022/2/26, 48, 16, 25, 6, , 
2022/2/27, 59, 17, 27, 6, , 
2022/2/28, 59, 25, 27, 12, , 
2022/3/1, 74, 47, 20, 24, , 
2022/3/2, 120, 50, 27, 22, , 
2022/3/3, 126, 38, 31, 13, , 
2022/3/4, 100, 28, 27, 6, , 
2022/3/5, 85, 23, 29, 4, , 
2022/3/6, 67, 36, 26, 9, , 
2022/3/7, 100, 28, 28, 16, , 
2022/3/8, 73, 36, 30, 19, , 
2022/3/9, 91, 40, 28, 14, , 
2022/3/10, 101, 32, 30, 13, , 
2022/3/11, 82, 45, 34, 18, , 
2022/3/12, 111, 54, 36, 20, , 
2022/3/13, 126, 41, 35, 16, , 
2022/3/14, 101, 36, 32, 12, , 
2022/3/15, 87, 33, 36, 2, , 
2022/3/16, 75, 43, 40, 2, , 
2022/3/17, 97, 38, 19, 13, , 
2022/3/18, 94, 48, 35, 10, , 
2022/3/19, 123, 38, 36, 3, , 
2022/3/20, 94, 37, 36, 15, , 
2022/3/21, 86, 51, 43, 14, , 
2022/3/22, 121, , , , , 
2022/3/24, 112, 61, 41, 19, , 
2022/3/25, 127, 57, 46, 19, , 
2022/3/26, 124, 52, 40, 17, , 
2022/3/27, 111, 50, 40, 10, , 
2022/3/28, 108, 39, 42, 3, , 
2022/3/29, 81, 33, 32, 10, , 
2022/3/30, 77, 21, 14, 6, , 
2022/3/31, 69, 13, 12, 3, , 
2021/10/1, 67, 35, 11, 13, 1, 
2021/10/2, 91, 23, 28, 13, 1, 
2021/10/3, 66, 19, 34, 15, 1, 
2021/10/4, 53, 22, 27, 14, 1, 
2021/10/5, 61, 12, 22, 9, , 
2021/10/6, 38, 6, 21, 5, , 
2021/10/7, 25, 18, 19, 4, , 
2021/10/8, 58, 26, 19, 6, , 
2021/10/9, 69, 13, 22, 4, , 
2021/10/10, 48, 29, 22, 12, , 
2021/10/11, 85, 33, 13, 16, 1, 
2021/10/12, 92, 21, 19, 14, 1, 
2021/10/13, 64, 20, 24, 13, 1, 
2021/10/14, 60, 31, 23, 16, 1, 
2021/10/15, 87, 39, 20, 16, 2, 
2021/10/16, 107, 35, 27, 15, 2, 
2021/10/17, 101, 46, 19, 18, 2, 
2021/10/18, 120, 47, 20, 18, 3, 
2021/10/19, 125, 35, 35, 11, 2, 
2021/10/20, 99, 20, 34, 9, 1, 
2021/10/21, 44, 26, 11, 13, 1, 
2021/10/22, 80, 18, 19, 9, 1, 
2021/10/23, 58, 26, 26, 11, 1, 
2021/10/24, 79, 40, 21, 20, 3, 
2021/10/25, 107, 45, 15, 20, 3, 
2021/10/26, 123, 51, 16, 20, 3, 
2021/10/27, 135, 59, 17, 21, 6, 
2021/10/28, 149, 64, 21, 23, 4, 
2021/10/29, 160, 60, 8, 18, 3, 
2021/10/30, 153, 54, 9, 14, 2, 
2021/10/31, 142, 64, 8, 14, 4, 
2021/11/1, 158, 25, 13, 15, 2, 
2021/11/2, 77, 35, 8, 15, 2, 
2021/11/3, 98, 27, 2, 16, 2, 
2021/11/4, 72, 26, 1, 14, 2, 
2021/11/5, 74, 28, 1, 12, 2, 
2021/11/6, 84, 26, , 9, 1, 
2021/11/7, 79, 24, 1, 14, 2, 
2021/11/8, 77, 36, 1, 17, 2, 
2021/11/9, 94, 46, 1, 15, 3, 
2021/11/10, 121, 43, 1, 12, 2, 
2021/11/11, 117, 26, , 10, 2, 
2021/11/12, 81, 25, 1, 5, 1, 
2021/11/13, 80, , , , , 
2021/11/16, 132, 50, , 19, 3, 
2021/11/17, 132, 37, 1, 12, 2, 
2021/11/18, 105, 40, , 16, 3, 
2021/11/19, 110, 58, 1, 19, 4, 
2021/11/20, 142, 52, , 15, 4, 
2021/11/21, 136, 35, , 15, 3, 
2021/11/22, 105, 19, 1, 12, 2, 
2021/11/23, 63, 50, 1, 20, 4, 
2021/11/24, 135, 54, 2, 21, 4, 
2021/11/25, 141, 47, , 15, 5, 
2021/11/26, 127, 23, , 10, 2, 
2021/11/27, 76, 20, , 9, 2, 
2021/11/28, 68, 21, 3, 16, 2, 
2021/11/29, 68, 26, 2, 13, 2, 
2021/11/30, 79, 14, 3, 12, 2, 
2021/12/1, 38, 15, 6, 15, 2, 
2021/12/2, 50, 21, 2, 16, 2, 
2021/12/3, 63, 50, 1, 18, 4, 
2021/12/4, 132, 27, 1, 10, 3, 
2021/12/5, 87, 26, 1, 17, 2, 
2021/12/6, 79, 50, 1, 18, 4, 
2021/12/7, 136, 39, 1, 18, 3, 
2021/12/8, 106, 35, 2, 16, 3, 
2021/12/9, 106, 46, 1, 16, 4, 
2021/12/10, 134, 22, 3, 7, 2, 
2021/12/11, 76, 25, 1, 12, 2, 
2021/12/12, 82, 42, 1, 19, 3, 
2021/12/13, 123, 41, 2, 18, 3, 
2021/12/14, 117, 40, , 18, 4, 
2021/12/15, 116, 38, 1, 17, 4, 
2021/12/16, 111, 40, 1, 18, 4, 
2021/12/17, 111, 38, 1, 16, 3, 
2021/12/18, 111, 45, 1, 17, 3, 
2021/12/19, 127, 43, 1, 21, 4, 
2021/12/20, 114, 46, 1, 20, 4, 
2021/12/21, 123, 45, 2, 19, 3, 
2021/12/22, 115, 62, 1, 20, 5, 
2021/12/23, 159, 20, 2, 12, 3, 
2021/12/24, 68, 22, , 14, 3, 
2021/12/25, 76, 18, 2, 6, 2, 
2021/12/26, 61, 24, 1, 10, 2, 
2021/12/27, 79, 28, 1, 9, 2, 
2021/12/28, 86, 41, , 13, 3, 
2021/12/29, 114, 29, , 13, 3, 
2021/12/30, 89, 59, , 14, 5, 
2021/12/31, 144, 72, 1, 19, 7, 
2022/1/1, 172, 61, , 15, 6, 
2022/1/2, 156, 28, , 15, 4, 
2021/7/2, 33, 33, 41, 17, 1, 
2021/7/3, 48, 21, 41, 8, 1, 
2021/7/4, 43, 17, 32, 12, , 
2021/7/5, 50, 22, 35, 14, 1, 
2021/7/6, 55, 25, 33, 15, 1, 
2021/7/7, 46, 30, 44, 17, 2, 
2021/7/8, 54, 30, 39, 9, 1, 
2021/7/9, 40, 13, 41, 5, , 
2021/7/10, 18, 20, 44, 9, 1, 
2021/7/11, 44, 32, 39, 10, , 
2021/7/12, 55, 41, 39, 14, 1, 
2021/7/13, 57, 23, 28, 13, 1, 
2021/7/14, 47, 18, 38, 13, 1, 
2021/7/15, 31, 36, 39, 12, 1, 
2021/7/16, 48, 13, 36, 3, , 
2021/7/17, 43, 19, 39, 5, , 
2021/7/18, 56, 20, 27, 8, , 
2021/7/19, 40, 25, 35, 12, , 
2021/7/20, 53, 24, 42, 9, , 
2021/7/21, 54, 26, 45, 12, , 
2021/7/22, 57, 32, 46, 13, 1, 
2021/7/23, 65, , , , , 
2021/7/25, 65, 40, 33, 17, 1, 
2021/7/26, 75, 38, 35, 14, 1, 
2021/7/27, 63, 32, 40, 13, 1, 
2021/7/28, 55, 31, 46, 10, 1, 
2021/7/29, 49, 24, 47, 15, 1, 
2021/7/30, 52, 19, 50, 8, 1, 
2021/7/31, 42, 24, 39, 7, 1, 
2021/8/1, 39, 8, 37, 7, , 
2021/8/2, 21, 15, 42, 10, , 
2021/8/3, 32, 22, 37, 10, , 
2021/8/4, 39, 8, 27, 5, , 
2021/8/5, 28, 8, 32, 8, , 
2021/8/6, 23, 18, 34, 10, , 
2021/8/7, 34, 18, 39, 9, , 
2021/8/8, 35, 20, 41, 9, 1, 
2021/8/9, 28, 23, 46, 10, 1, 
2021/8/10, 44, 29, 40, 13, 1, 
2021/8/11, 46, 33, 41, 14, 1, 
2021/8/12, 56, 28, 40, 12, 1, 
2021/8/13, 46, 27, 50, 14, 1, 
2021/8/14, 53, 21, 46, 11, 1, 
2021/8/15, 53, 37, 41, 14, 1, 
2021/8/16, 64, 13, 26, 8, 1, 
2021/8/17, 27, 15, 37, 9, 1, 
2021/8/18, 30, 19, 39, 11, 1, 
2021/8/19, 37, 22, 39, 13, 1, 
2021/8/20, 37, 19, 44, 14, 1, 
2021/8/21, 42, 17, 42, 13, 1, 
2021/8/22, 45, 18, 28, 11, 1, 
2021/8/23, 30, 10, 31, 7, , 
2021/8/24, 27, 13, 29, 7, , 
2021/8/25, 38, 14, 31, 8, , 
2021/8/26, 40, 12, 30, 10, , 
2021/8/27, 22, 11, 26, 10, 1, 
2021/8/28, 39, 8, 16, 9, , 
2021/8/29, 28, 7, 26, 7, , 
2021/8/30, 20, 8, 31, 9, , 
2021/8/31, 22, 11, 31, 11, , 
2021/9/1, 28, 18, 32, 14, , 
2021/9/2, 51, 21, 36, 16, 1, 
2021/9/3, 53, 23, 40, 14, 1, 
2021/9/4, 60, 21, 40, 14, 1, 
2021/9/5, 58, 21, 38, 15, 1, 
2021/9/6, 53, 29, 39, 16, 1, 
2021/9/7, 67, 31, 39, 16, 1, 
2021/9/8, 66, 33, 40, 19, 3, 
2021/9/9, 66, 35, 45, 20, 2, 
2021/9/10, 73, 36, 55, 19, 2, 
2021/9/11, 86, 36, 51, 19, 1, 
2021/9/12, 85, 36, 48, 23, 1, 
2021/9/13, 79, 37, 41, 22, 1, 
2021/9/14, 85, 40, 45, 15, 1, 
2021/9/15, 79, 36, 36, 11, 1, 
2021/9/16, 77, 14, 16, 13, 1, 
2021/9/17, 46, 12, 24, 11, , 
2021/9/18, 38, 14, 28, 9, , 
2021/9/19, 45, 10, 23, 10, , 
2021/9/20, 38, 19, 29, 14, , 
2021/9/21, 56, 22, 27, 16, , 
2021/9/22, 63, 19, 25, 16, 1, 
2021/9/23, 56, 18, 32, 14, 1, 
2021/9/24, 52, 24, 40, 15, , 
2021/9/25, 69, 23, 37, 11, , 
2021/9/26, 57, 19, 32, 10, , 
2021/9/27, 54, 23, 28, 17, , 
2021/9/28, 62, 29, 29, 13, 1, 
2021/9/29, 70, 9, 25, 11, , 
2021/9/30, 29, 24, 20, 14, 1, 
2021/4/1, 105, 45, 39, 23, 2, 
2021/4/2, 90, 40, 41, 14, 1, 
2021/4/3, 64, 19, 29, 6, , 
2021/4/4, 42, 11, 32, 5, , 
2021/4/5, 66, 11, 29, 7, , 
2021/4/6, 41, 24, 28, 11, , 
2021/4/7, 76, 25, 34, 11, , 
2021/4/8, 75, 22, 40, 8, , 
2021/4/9, 60, 12, 40, 3, , 
2021/4/10, 35, 18, 39, 9, , 
2021/4/11, 55, 22, 27, 13, , 
2021/4/12, 68, 6, 27, 8, , 
2021/4/13, 25, 15, 29, 12, , 
2021/4/14, 50, 29, 30, 14, , 
2021/4/15, 85, 32, 34, 12, , 
2021/4/16, 91, 29, 25, 6, , 
2021/4/17, 87, 27, 27, 7, , 
2021/4/18, 88, 20, 23, 11, , 
2021/4/19, 70, 17, 28, 13, , 
2021/4/20, 61, 18, 38, 9, , 
2021/4/21, 59, 15, 42, 7, , 
2021/4/22, 52, 29, 37, 9, , 
2021/4/23, 73, 35, 43, 11, , 
2021/4/24, 89, 30, 46, 7, 1, 
2021/4/25, 81, 24, 32, 7, , 
2021/4/26, 72, 34, 24, 9, , 
2021/4/27, 102, 31, 24, 9, , 
2021/4/28, 94, 17, 29, 7, , 
2021/4/29, 55, 13, 30, 10, , 
2021/4/30, 42, 24, 35, 9, , 
2021/5/1, 66, 11, 33, 2, , 
2021/5/2, 31, 12, 33, 11, , 
2021/5/3, 42, 18, 38, 8, , 
2021/5/4, 50, 18, 38, 6, , 
2021/5/5, 42, 13, 27, 10, , 
2021/5/6, 41, 21, 22, 11, , 
2021/5/7, 63, 14, 39, 9, , 
2021/5/8, 47, 19, 40, 9, , 
2021/5/9, 56, 19, 36, 11, , 
2021/5/10, 50, 22, 37, 23, 1, 
2021/5/11, 44, 14, 26, 16, 1, 
2021/5/12, 35, 8, 23, 9, , 
2021/5/13, 26, 9, 31, 8, , 
2021/5/14, 28, , , , , 
2021/5/16, 27, 6, 24, 10, , 
2021/5/17, 24, 8, 27, 8, , 
2021/5/18, 24, 5, 22, 11, , 
2021/5/19, 22, 10, 35, 12, , 
2021/5/20, 34, 14, 34, 12, , 
