date, pm25, pm10, no2, so2, co
2024/9/29, 17, 12, 11, 3, 
2024/9/30, 37, 15, 9, 3, 
2024/4/1, 118, 6, 10, 2, 
2024/4/2, 17, 10, 7, 2, 
2024/4/3, 24, 8, 4, 2, 
2024/4/4, 19, 14, 8, 2, 
2024/4/5, 36, 18, 8, 2, 
2024/4/6, 48, 14, 9, 2, 
2024/4/7, 41, 22, 11, 2, 
2024/4/8, 49, 22, 9, 2, 
2024/4/9, 44, 22, 11, 2, 
2024/4/10, 33, 20, 13, 2, 
2024/4/11, 42, 23, 13, 2, 
2024/4/12, 50, 26, 8, 2, 
2024/4/13, 62, 23, 7, 2, 
2024/4/14, 58, 30, 8, 2, 
2024/4/15, 55, 17, 12, 2, 
2024/4/16, 36, 5, 6, 2, 
2024/4/17, 19, 10, 12, 2, 
2024/4/18, 34, 11, 9, 2, 
2024/4/19, 36, 13, 11, 2, 
2024/4/20, 37, 7, 6, 2, 
2024/4/21, 22, 14, 10, 2, 
2024/4/22, 47, 17, 11, 2, 
2024/4/23, 59, 11, 11, 2, 
2024/4/24, 39, 17, 14, 2, 
2024/4/25, 54, 14, 8, 2, 
2024/4/26, 44, 11, 7, 2, 
2024/4/27, 33, 16, 7, 1, 
2024/4/28, 44, 22, 12, 3, 
2024/4/29, 49, 25, 15, 3, 
2024/4/30, 43, 23, 8, 3, 
2024/5/1, 55, 12, 5, 2, 
2024/5/2, 35, 5, 9, 2, 
2024/5/3, 18, 11, 7, 2, 
2024/5/4, 34, 12, 4, 2, 
2024/5/5, 37, 12, 5, 2, 
2024/5/6, 27, 13, 11, 2, 
2024/5/7, 35, 12, 11, 2, 
2024/5/8, 41, 20, 13, 2, 
2024/5/9, 49, 19, 15, 2, 
2024/5/10, 43, 17, 12, 2, 
2024/5/11, 46, 15, 9, 2, 
2024/5/12, 45, 17, 9, 2, 
2024/5/13, 47, 10, 11, 2, 
2024/5/14, 33, 16, 3, 2, 
2024/5/15, 57, 22, 16, 3, 
2024/5/16, 56, 18, 5, 3, 
2024/5/17, 47, 11, 7, 2, 
2024/5/18, 30, 18, 5, 2, 
2024/5/19, 47, 44, 9, 2, 
2024/5/20, 85, 26, 13, 2, 
2024/5/21, 65, 12, 10, 3, 
2024/5/22, 32, 11, 11, 2, 
2024/5/23, 33, 12, 8, 2, 
2024/5/24, 34, 16, 8, 3, 
2024/5/25, 47, 14, 5, 2, 
2024/5/26, 48, 19, 7, 2, 
2024/5/27, 52, 20, 12, 2, 
2024/5/28, 53, 10, 10, 2, 
2024/5/29, 29, 10, 4, 3, 
2024/5/30, 30, 9, 9, 2, 
2024/5/31, 35, 7, 6, 3, 
2024/6/1, 21, 9, 5, 2, 
2024/6/2, 28, 7, 8, 2, 
2024/6/3, 23, 7, 7, 2, 
2024/6/4, 21, 12, 6, 3, 
2024/6/5, 35, 17, 7, 2, 
2024/6/6, 50, 21, 8, 3, 
2024/6/7, 58, 23, 5, 3, 
2024/6/8, 66, 29, 6, 3, 
2024/6/9, 73, 19, 8, 2, 
2024/6/10, 54, 10, 9, 3, 
2024/6/11, 34, 7, 11, 2, 
2024/6/12, 18, 10, 9, 3, 
2024/6/13, 29, 11, 6, 2, 
2024/6/14, 35, 12, 4, 3, 
2024/6/15, 37, 11, 5, 2, 
2024/6/16, 35, 18, 7, 3, 
2024/6/17, 47, 22, 6, 2, 
2024/6/18, 61, 24, 6, 3, 
2024/6/19, 54, 28, 12, 2, 
2024/6/20, 62, 51, 9, 3, 
2024/6/21, 102, 38, 7, 3, 
2024/6/22, 77, 12, 6, 3, 
2024/6/23, 27, 17, 12, 3, 
2024/6/24, 49, 18, 11, 3, 
2024/6/25, 51, 20, 10, 3, 
2024/6/26, 57, 19, 8, 3, 
2024/6/27, 54, 21, 8, 3, 
2024/6/28, 59, 26, 6, 3, 
2024/6/29, 69, 24, 4, 3, 
2024/6/30, 67, 16, 9, 3, 
2024/1/1, 46, 22, 14, , 
2024/1/2, 68, 16, 13, , 
2024/1/3, 42, 22, 14, 1, 
2024/1/4, 61, 50, 24, 1, 
2024/1/5, 122, 27, 15, 1, 
2024/1/6, 80, 6, 7, , 
2024/1/7, 26, 20, 12, 1, 
2024/1/8, 65, 28, 15, , 
2024/1/9, 82, 42, 14, 1, 
2024/1/10, 117, 52, 19, 1, 
2024/1/11, 136, 51, 22, 1, 
2024/1/12, 131, 33, 16, , 
2024/1/13, 96, 61, 21, 1, 
2024/1/14, 159, 44, 23, 1, 
2024/1/15, 125, 29, 21, 1, 
2024/1/16, 82, 39, 20, 1, 
2024/1/17, 109, 22, 21, 1, 
2024/1/18, 64, 19, 20, , 
2024/1/19, 62, 33, 21, , 
2024/1/20, 99, 48, 24, , 
2024/1/21, 133, 62, 28, , 
2024/1/22, 155, 41, 26, , 
2024/1/23, 113, 52, 20, 1, 
2024/1/24, 126, 34, 20, , 
2024/1/25, 87, 29, 20, , 
2024/1/26, 74, 34, 17, , 
2024/1/27, 84, 28, 14, , 
2024/1/28, 76, 44, 20, , 
2024/1/29, 111, 42, 19, 3, 
2024/1/30, 109, 55, 23, 1, 
2024/1/31, 135, 68, 27, 1, 
2024/2/1, 158, 44, 17, , 
2024/2/2, 107, 55, 24, 1, 
2024/2/3, 129, 48, 19, , 
2024/2/4, 122, 33, 10, 1, 
2024/2/5, 84, 26, 9, , 
2024/2/6, 72, 25, 11, 1, 
2024/2/7, 64, 20, 7, 1, 
2024/2/8, 57, 18, 5, 1, 
2024/2/9, 50, 29, 14, 1, 
2024/2/10, 69, 14, 11, 1, 
2024/2/11, 50, 11, 11, 1, 
2024/2/12, 31, 27, 17, , 
2024/2/13, 60, 23, 14, 1, 
2024/2/14, 58, 37, 21, , 
2024/2/15, 86, 31, 18, 5, 
2024/2/16, 76, 37, 18, 5, 
2024/2/17, 93, 22, 14, 1, 
2024/2/18, 62, 40, 20, , 
2024/2/19, 99, 28, 13, 1, 
2024/2/20, 78, 18, 12, , 
2024/2/21, 52, 16, 11, 1, 
2024/2/22, 47, 12, 8, 1, 
2024/2/23, 35, 12, 8, 1, 
2024/2/24, 34, 21, 13, 1, 
2024/2/25, 63, 25, 15, 1, 
2024/2/26, 60, 34, 21, 1, 
2024/2/27, 84, 51, 20, 1, 
2024/2/28, 128, 44, 15, 1, 
2024/2/29, 103, 49, 17, 2, 
2024/3/1, 127, 34, 12, 1, 
2024/3/2, 98, 17, 11, 1, 
2024/3/3, 46, 31, 19, 1, 
2024/3/4, 67, 32, 19, 1, 
2024/3/5, 71, 32, 15, 1, 
2024/3/6, 81, 27, 11, 1, 
2024/3/7, 78, 34, 16, 1, 
2024/3/8, 96, 39, 17, 1, 
2024/3/9, 111, 37, 15, 1, 
2024/3/10, 99, 8, 15, 1, 
2024/3/11, 30, 12, 14, 1, 
2024/3/12, 40, 19, 14, 1, 
2024/3/13, 51, 26, 14, 1, 
2024/3/14, 67, 24, 14, 1, 
2024/3/15, 58, 33, 16, 1, 
2024/3/16, 84, 17, 10, 1, 
2024/3/17, 51, 17, 14, 1, 
2024/3/18, 47, 26, 14, 1, 
2024/3/19, 70, 32, 13, 1, 
2024/3/20, 81, 37, 16, 1, 
2024/3/21, 87, 19, 13, 1, 
2024/3/22, 53, 17, 9, 1, 
2024/3/23, 49, 6, 7, 1, 
2024/3/24, 20, 15, 11, , 
2024/3/25, 41, 19, 14, 2, 
2024/3/26, 46, 26, 11, 3, 
2024/3/27, 61, 5, 5, 2, 
2024/3/28, 13, 17, 8, 2, 
2024/3/29, 36, 34, 10, 2, 
2024/3/30, 61, 73, 6, 2, 
2024/3/31, 104, 81, 4, 2, 
2023/10/1, 66, 23, 10, , 
2023/10/2, 63, 26, 13, , 
2023/10/3, 64, 22, 15, , 
2023/10/4, 48, 19, 13, , 
2023/10/5, 41, 19, 14, , 
2023/10/6, 48, 21, 11, , 
2023/10/7, 57, 22, 8, , 
2023/10/8, 47, 17, 13, , 
2023/10/9, 37, 24, 15, , 
2023/10/10, 56, 30, 12, , 
2023/10/11, 67, 32, 10, , 
2023/10/12, 71, 39, 13, , 
2023/10/13, 86, 50, 13, , 
2023/10/14, 111, , , , 
2023/10/16, 45, 19, 11, 8, 
2023/10/17, 57, 35, 13, 2, 
2023/10/18, 93, 40, 17, , 
2023/10/19, 95, 42, 14, , 
2023/10/20, 80, 20, 12, , 
2023/10/21, 53, 10, 8, , 
2023/10/22, 30, 14, 13, , 
2023/10/23, 38, 27, 18, , 
2023/10/24, 53, 14, 14, , 
2023/10/25, 35, 12, 11, , 
2023/10/26, 31, 10, 14, , 
2023/10/27, 30, 13, 11, , 
2023/10/28, 36, 12, 9, , 
2023/10/29, 36, 21, 17, , 
2023/10/30, 47, 11, 13, , 
2023/10/31, 34, 20, 11, , 
2023/11/1, 58, 23, 15, , 
2023/11/2, 61, 11, 14, , 
2023/11/3, 34, 15, 11, , 
2023/11/4, 48, 11, 8, , 
2023/11/5, 30, 17, 15, , 
2023/11/6, 42, 24, 15, , 
2023/11/7, 66, 12, 10, , 
2023/11/8, 40, , , , 
2023/11/15, 67, 32, , , 
2023/11/16, 79, 21, 19, 7, 
